Nome,Dono,Idade (anos),Dias desde última atualização,Linguagem,Releases,Pull Requests,Issues Fechadas,Total Issues,Taxa de Fechamento de Issues,Stars
awesome-javascript,sorrycc,10,0,Unknown,0,383,87,91,0.9560439560439561,33944
gold-miner,xitu,9,0,Unknown,0,3563,5591,5596,0.9991065046461758,33934
nushell,nushell,5,0,Rust,104,7303,4670,6109,0.7644458994925519,33871
marked,markedjs,13,0,TypeScript,146,1486,1542,1558,0.9897304236200257,33839
REKCARC-TSC-UHT,PKUanonym,5,0,HTML,0,159,30,31,0.967741935483871,33833
spacedrive,spacedriveapp,3,0,TypeScript,25,1880,386,496,0.7782258064516129,33831
netty,netty,14,0,Java,0,3912,5979,6558,0.9117108874656907,33782
awesome-shell,alebcay,10,0,Unknown,0,307,22,57,0.38596491228070173,33740
jieba,fxsjy,12,0,Python,9,96,227,853,0.2661195779601407,33685
react-beautiful-dnd,atlassian,7,0,JavaScript,68,530,1044,1613,0.6472411655300682,33650
shadowsocks,shadowsocks,12,0,Python,2,70,0,0,0,33600
AndroidUtilCode,Blankj,8,0,Java,117,88,1278,1580,0.8088607594936709,33442
Langchain-Chatchat,chatchat-space,1,0,TypeScript,31,616,3829,4038,0.9482417038137692,33428
spring-boot-demo,xkcoding,7,0,Java,0,15,73,169,0.4319526627218935,33372
AFNetworking,AFNetworking,13,1,Objective-C,40,710,0,0,0,33352
LeetCode-Go,halfrost,7,0,Go,4,178,63,79,0.7974683544303798,33317
sqlmap,sqlmapproject,12,0,Python,10,169,5230,5281,0.9903427381177807,33314
brackets,adobe,13,0,JavaScript,69,4332,7066,9683,0.7297325209129402,33228
XX-Net,XX-net,10,0,Python,388,362,5413,13312,0.40662560096153844,33164
pytorch-image-models,huggingface,6,0,Python,64,436,907,955,0.949738219895288,33159
framework,laravel,12,0,PHP,798,15918,18497,18516,0.9989738604450206,33109
husky,typicode,10,0,JavaScript,80,262,1011,1064,0.950187969924812,33100
easyexcel,alibaba,7,0,Java,14,190,3113,3575,0.8707692307692307,33096
gulp,gulpjs,11,0,JavaScript,23,405,1906,1934,0.9855222337125129,33080
zxing,zxing,13,0,Java,31,317,1290,1296,0.9953703703703703,33052
fastify,fastify,8,0,JavaScript,290,2936,1975,2036,0.9700392927308448,33040
immutable-js,immutable-js,10,0,TypeScript,85,532,1147,1247,0.9198075380914194,33014
faiss,facebookresearch,8,0,C++,18,137,2344,2568,0.9127725856697819,32989
solid,solidjs,6,0,TypeScript,35,363,948,1047,0.9054441260744985,32984
windows,dockur,1,0,Shell,80,325,553,642,0.8613707165109035,32951
leetcode,doocs,6,0,Java,20,3650,48,50,0.96,32945
NewPipe,TeamNewPipe,9,0,Java,135,1604,8105,9273,0.8740429203062655,32909
JavaScript,TheAlgorithms,7,0,JavaScript,0,795,196,203,0.9655172413793104,32872
Coursera-ML-AndrewNg-Notes,fengdu78,7,0,HTML,0,13,15,68,0.22058823529411764,32857
AgentGPT,reworkd,1,0,TypeScript,12,539,337,461,0.7310195227765727,32849
linux-command,jaywcjlove,8,0,Markdown,29,344,122,193,0.6321243523316062,32792
ijkplayer,bilibili,11,0,C,0,35,2540,5361,0.47379220294721136,32735
ShadowsocksX-NG,shadowsocks,8,0,Swift,30,64,1048,1356,0.7728613569321534,32627
carbon-lang,carbon-language,4,0,C++,223,3536,511,623,0.8202247191011236,32623
poetry,python-poetry,6,0,Python,138,2264,5600,6059,0.9242449249050998,32577
Python,geekcomputers,13,0,Python,0,1621,139,438,0.317351598173516,32508
engineering-blogs,kilimchoi,9,0,Ruby,0,681,74,96,0.7708333333333334,32467
harness,harness,11,0,Go,50,1042,1920,1991,0.9643395278754395,32447
milvus,milvus-io,5,0,Go,106,21014,12085,12722,0.9499292564062254,32439
plane,makeplane,2,0,TypeScript,39,4927,697,1106,0.6301989150090416,32370
awesome-awesomeness,bayandin,10,0,Ruby,0,197,52,68,0.7647058823529411,32365
gpt-pilot,Pythagora-io,1,0,Python,0,395,301,543,0.5543278084714549,32351
legado,gedoor,5,0,Kotlin,115,1068,2537,2609,0.9724032196243771,32334
payload,payloadcms,4,0,TypeScript,485,4746,2857,3124,0.9145326504481434,32302
material-design-lite,google,10,0,HTML,14,655,1812,2189,0.8277752398355414,32291
zsh-autosuggestions,zsh-users,11,0,Shell,0,114,453,603,0.7512437810945274,32237
node,inkonchain,0,0,Shell,2,26,5,12,0.4166666666666667,32195
docs,inkonchain,0,0,MDX,0,278,13,27,0.48148148148148145,32150
ink-kit,inkonchain,0,0,TypeScript,0,83,0,2,0.0,32010
portainer,portainer,8,0,TypeScript,136,4777,5226,5763,0.9068193649141072,31998
certbot,certbot,10,0,Python,56,3872,5241,5373,0.9754327191513121,31917
run,The-Run-Philosophy-Organization,2,0,Unknown,0,172,213,255,0.8352941176470589,31891
How-To-Ask-Questions-The-Smart-Way,ryanhanwu,9,0,JavaScript,0,98,20,27,0.7407407407407407,31889
polars,pola-rs,4,0,Rust,202,10303,7693,9833,0.782365503915387,31865
openpose,CMU-Perceptual-Computing-Lab,7,0,C++,15,174,1662,1985,0.83727959697733,31851
beego,beego,12,0,Go,38,1309,3350,3356,0.9982121573301549,31824
chatgpt-web,Chanzhaoyu,2,0,Vue,43,159,1747,1747,1.0,31819
vault,hashicorp,9,0,Go,155,19885,5172,6242,0.8285805831464275,31766
my-tv,lizongying,1,0,C,72,11,774,912,0.8486842105263158,31751
HEU_KMS_Activator,zbezj,5,0,Unknown,40,0,25,161,0.15527950310559005,31748
LLM101n,karpathy,0,0,Unknown,0,0,0,0,0,31722
swc,swc-project,7,0,Rust,619,5047,3323,3719,0.8935197633772519,31678
android-open-project,Trinea,11,0,Unknown,0,204,74,85,0.8705882352941177,31677
mattermost,mattermost,9,0,TypeScript,708,17955,8212,8868,0.9260261614794768,31636
modern-unix,ibraheemdev,4,0,Unknown,0,15,30,81,0.37037037037037035,31601
selenium,SeleniumHQ,12,0,Java,101,2547,10505,10636,0.9876833396013539,31582
AnotherRedisDesktopManager,qishibo,6,0,JavaScript,53,149,916,1037,0.8833172613307618,31524
shardeum,shardeum,0,0,TypeScript,0,163,23,35,0.6571428571428571,31449
ControlNet,lllyasviel,2,0,Python,0,5,138,564,0.24468085106382978,31445
RevokeMsgPatcher,huiyadanli,5,0,C#,20,10,690,755,0.9139072847682119,31386
graphql-engine,hasura,6,0,TypeScript,279,2110,4079,6329,0.6444936008848159,31350
awesome-php,ziadoz,11,0,Unknown,0,444,150,151,0.9933774834437086,31318
awesome-docker,veggiemonk,10,0,Unknown,1,929,127,129,0.9844961240310077,31281
nps,ehang-io,6,0,Go,59,74,697,1190,0.5857142857142857,31260
jax,jax-ml,6,0,Python,118,12063,4463,5954,0.7495801142089352,31256
C-Plus-Plus,TheAlgorithms,8,0,C++,0,667,304,313,0.9712460063897763,31237
yew,yewstack,7,0,MDX,35,1725,1126,1250,0.9008,31223
detectron2,facebookresearch,5,0,Python,10,0,3083,3535,0.8721357850070721,31222
jq,jqlang,12,0,C,13,572,1865,2229,0.8366980708838044,31186
